name,coin,price,marketcap,supply,type
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Bitcoin,BTC,57244.76,1083581961194,18841525,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
Ethereum,ETH,3478.77,412713875351,117894027,coin
